Town,County,Trump,Biden,Other,Perc_Trump,Perc_Biden,Winner,wr_Biden,wr_Trump,population,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles,Income,zip_code,pop_density
Groton,Grafton,232.0,142.0,6.0,0.6203208556149733,0.37967914438502676,Trump,,1.6338028169014085,595.0,"26,085.17",40.76,"26,056.36",40.71,28.81,0.05,46818.0,03241,14.61557356914763
Groton,Grafton,232.0,142.0,6.0,0.6203208556149733,0.37967914438502676,Trump,,1.6338028169014085,595.0,"26,085.17",40.76,"26,056.36",40.71,28.81,0.05,46818.0,03266,14.61557356914763
Hampstead,Rockingham,3303.0,2494.0,85.0,0.5697774711057444,0.43022252889425566,Trump,,1.3243785084202084,8632.0,"9,014.11",14.08,"8,580.25",13.41,433.86,0.68,90806.0,03841,643.6987322893364
Hampton,Rockingham,5212.0,6150.0,140.0,0.4587220559760605,0.5412779440239395,Biden,1.1799693016116655,,15495.0,"9,072.73",14.18,"8,804.74",13.76,267.99,0.42,78706.0,03842,1126.09011627907
Hampton,Rockingham,5212.0,6150.0,140.0,0.4587220559760605,0.5412779440239395,Biden,1.1799693016116655,,15495.0,"9,072.73",14.18,"8,804.74",13.76,267.99,0.42,78706.0,03843,1126.09011627907
Hampton Falls,Rockingham,863.0,845.0,12.0,0.5052693208430913,0.49473067915690866,Trump,,1.021301775147929,2414.0,"8,077.97",12.62,"7,926.42",12.39,151.55,0.24,129531.0,03844,194.83454398708636
Hancock,Hillsborough,408.0,875.0,15.0,0.3180046765393609,0.6819953234606392,Biden,2.144607843137255,,1656.0,"20,003.64",31.26,"19,185.82",29.98,817.82,1.28,73409.0,03449,55.2368245496998
Hanover,Grafton,841.0,6210.0,66.0,0.11927386186356545,0.8807261381364345,Biden,7.3840665873959574,,11473.0,"32,087.05",50.14,"31,424.94",49.1,662.12,1.03,118250.0,03755,233.66598778004072
Harrisville,Cheshire,201.0,553.0,6.0,0.26657824933687,0.73342175066313,Biden,2.7512437810945274,,951.0,"12,945.48",20.23,"11,976.77",18.71,968.71,1.51,67266.0,03450,50.82843399251737
Haverhill,Grafton,1180.0,925.0,39.0,0.5605700712589073,0.43942992874109266,Trump,,1.2756756756756757,4565.0,"33,509.85",52.36,"32,739.76",51.16,770.09,1.2,53869.0,03765,89.22986708365912
Hebron,Grafton,267.0,239.0,14.0,0.5276679841897233,0.4723320158102767,Trump,,1.1171548117154813,627.0,"12,150.50",18.99,"10,789.93",16.86,"1,360.57",2.13,68000.0,03241,37.18861209964413
Henniker,Merrimack,1075.0,1569.0,67.0,0.4065809379727685,0.5934190620272315,Biden,1.4595348837209303,,5018.0,"28,671.74",44.8,"28,231.91",44.11,439.83,0.69,69609.0,03242,113.76105191566538
Hill,Merrimack,403.0,224.0,8.0,0.6427432216905901,0.3572567783094099,Trump,,1.7991071428571428,1108.0,"17,107.07",26.73,"17,068.46",26.67,38.61,0.06,73971.0,03243,41.544806899137605
Hillsborough,Hillsborough,1722.0,1475.0,79.0,0.5386299655927432,0.4613700344072568,Trump,,1.167457627118644,6002.0,"28,606.82",44.7,"27,967.50",43.7,639.32,1.0,70513.0,03244,137.34553775743706
Hinsdale,Cheshire,829.0,1048.0,33.0,0.4416622269579116,0.5583377730420884,Biden,1.264173703256936,,3907.0,"14,497.22",22.65,"13,255.46",20.71,"1,241.76",1.94,57340.0,03451,188.65282472235634
Holderness,Grafton,569.0,890.0,22.0,0.3899931459904044,0.6100068540095956,Biden,1.5641476274165202,,2107.0,"22,970.32",35.89,"19,539.34",30.53,"3,430.97",5.36,67143.0,03245,69.01408450704226
Hollis,Hillsborough,2468.0,3277.0,80.0,0.4295909486510009,0.5704090513489991,Biden,1.3277957860615883,,8006.0,"20,668.00",32.29,"20,333.17",31.77,334.83,0.52,126379.0,03049,251.99874095058232
Hooksett,Merrimack,4387.0,4060.0,138.0,0.5193559843731502,0.4806440156268498,Trump,,1.0805418719211823,14542.0,"23,760.58",37.13,"23,164.35",36.19,596.24,0.93,85952.0,03106,401.82370820668694
Hopkinton,Merrimack,1400.0,2688.0,75.0,0.3424657534246575,0.6575342465753424,Biden,1.92,,5761.0,"28,851.61",45.08,"27,698.32",43.28,"1,153.29",1.8,84456.0,03229,133.10998151571164
Hudson,Hillsborough,7744.0,6632.0,217.0,0.5386755703951029,0.46132442960489706,Trump,,1.1676718938480097,25619.0,"18,779.83",29.34,"18,261.58",28.53,518.25,0.81,93042.0,03051,897.9670522257272
Jackson,Carroll,212.0,567.0,7.0,0.27214377406931967,0.7278562259306803,Biden,2.6745283018867925,,860.0,"42,757.99",66.81,"42,753.70",66.8,4.3,0.01,62875.0,03846,12.87425149700599
Jaffrey,Cheshire,1410.0,1528.0,80.0,0.47991831177671884,0.5200816882232812,Biden,1.0836879432624114,,5277.0,"25,708.54",40.17,"24,580.13",38.41,"1,128.41",1.76,59698.0,03452,137.38609737047645
Jefferson,Coos,394.0,257.0,11.0,0.6052227342549923,0.39477726574500765,Trump,,1.5330739299610896,1047.0,"32,206.63",50.32,"32,061.59",50.1,145.03,0.23,56071.0,03583,20.898203592814372
Keene,Cheshire,3758.0,8950.0,221.0,0.2957192319798552,0.7042807680201448,Biden,2.38158594997339,,22786.0,"23,867.42",37.29,"23,714.32",37.05,153.1,0.24,55398.0,03431,615.0067476383266
Keene,Cheshire,3758.0,8950.0,221.0,0.2957192319798552,0.7042807680201448,Biden,2.38158594997339,,22786.0,"23,867.42",37.29,"23,714.32",37.05,153.1,0.24,55398.0,03435,615.0067476383266
Kensington,Rockingham,726.0,805.0,26.0,0.47419986936642716,0.5258001306335728,Biden,1.1088154269972452,,2106.0,"7,667.77",11.98,"7,667.77",11.98,0,0.0,113667.0,03833,175.79298831385643
Kingston,Rockingham,2311.0,1731.0,52.0,0.5717466600692727,0.42825333993072734,Trump,,1.3350664355863662,6446.0,"13,450.20",21.02,"12,704.20",19.85,746,1.17,93096.0,03848,324.7355163727959
Laconia,Belknap,4642.0,4141.0,137.0,0.5285210064898098,0.4714789935101901,Trump,,1.1209852692586333,16581.0,"16,712.23",26.11,"12,860.62",20.09,"3,851.61",6.02,52702.0,03246,825.3359880537581
